"";"Focal";"Date";"Age.new";"Age.scale";"percentage.duration.groomed";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"Duration.static";"duration.groomed";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"275";"NM15";"2022-03-19";23;-1,1908775070818;0;-0,773107261905582;-1,10107457755232;-0,619992076696548;-0,29358380298172;455;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"276";"NM15";"2022-03-21";23;-1,1908775070818;1,08126091657656;-0,946144858495161;-1,10107457755232;-0,619992076696548;-0,29358380298172;12023;130;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"277";"NM15";"2022-06-20";26;-1,08545124308341;3,73259052924791;-0,427032068726425;-1,10107457755232;-0,619992076696548;-0,29358380298172;5385;201;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"278";"NM15";"2022-06-26";26;-1,08545124308341;5,89180159342071;-1,4652576482639;-1,10107457755232;-0,241058767010375;-0,29358380298172;15564;917;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"279";"NM15";"2022-06-27";26;-1,08545124308341;0;-1,29222005167432;-1,10107457755232;-0,619992076696548;-0,29358380298172;5042;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"280";"NM15";"2022-07-04";27;-1,05030915508395;0;-1,11918245508474;-1,10107457755232;-0,619992076696548;-0,29358380298172;2545;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"281";"NM15";"2022-12-06";32;-0,874598715086635;0,535089524593538;-0,427032068726425;-1,10107457755232;-0,619992076696548;-0,29358380298172;4859;26;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"282";"NM15";"2022-12-09";32;-0,874598715086635;1,41453406759529;0,0920807210423114;-1,10107457755232;-0,619992076696548;-0,29358380298172;9261;131;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"283";"NM15";"2022-12-10";32;-0,874598715086635;5,68776772965255;0,784231107400626;-1,10107457755232;-0,619992076696548;-0,29358380298172;4202;239;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
"284";"NM15";"2022-12-11";32;-0,874598715086635;0;-0,600069665316003;-1,10107457755232;-0,619992076696548;-0,29358380298172;7422;0;"NORD";"M";"Yes";-0,430357142857143;0,3875;0,605357142857143
